"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"84",-0.296143540120342,0.057977309622853,-0.325018311688765,0.0225868391461471,"C0133-V201NS01","Cow 01","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"85",-0.184811078204414,0.0856219473057059,-0.0218991517574732,0.0736760946690349,"C0134-V101NS01","Cow 01","Farm 34","Nov","2019-11-07","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"86",-0.251564457233701,0.0901735510552073,-0.119801460626809,0.103734436772058,"C0134-V201NS01","Cow 01","Farm 34","Jan","2020-01-28","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"87",-0.230953864004616,-0.0158595089243553,-0.0030499750670163,0.0401324659428226,"C0135-V101NS01","Cow 01","Farm 35","Dec","2019-12-11","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"88",-0.335784141458434,0.297840566601313,0.173974851710532,-0.0945076302418861,"C0136-V101NS01","Cow 01","Farm 36","Nov","2019-11-21","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"89",-0.285758917724517,-0.0783803947156188,-0.238990246110233,-0.117770334533913,"C0136-V201NS01","Cow 01","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"90",-0.139941271282809,-0.0732189437297299,-0.0965349135320085,-0.0680523000509028,"C0137-V101NS01","Cow 01","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"91",-0.317344630984309,0.408913348050668,0.257381509008047,-0.116433946340196,"C0138-V101NS01","Cow 01","Farm 38","Jan","2020-01-14","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"92",-0.177993934249021,-0.388623540166272,0.198701766141771,-0.0741874884240618,"C0139-V101NS01","Cow 01","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"93",-0.187918368268502,0.0686504372376445,-0.0952758161523005,0.123519376177206,"C0141-V101NS01","Cow 01","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"94",-0.334584852609556,0.157764548888812,0.0638996314160242,-0.121358275330116,"C0142-V101NS01","Cow 01","Farm 42","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"95",-0.216668451722315,0.210969411792209,0.0702778332297125,-0.145463483663037,"C0143-V101NS01","Cow 01","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
