"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Richness"
"C0219-S001NS01","Cow 02","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow",42
"C0220-S001NS01","Cow 02","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow",31
"C0220-V201NS01","Cow 02","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Cow",179
"C0220-V301NS01","Cow 02","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow",60
"C0221-F001NS01","Cow 02","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow",97
"C0221-S001NS01","Cow 02","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow",46
"C0221-V301NS01","Cow 02","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Cow",115
"C0222-S001NS01","Cow 02","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow",105
"C0222-V201NS01","Cow 02","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow",132
"C0222-V301NS01","Cow 02","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow",125
"C0223-S001NS01","Cow 02","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow",55
"C0223-V201NS01","Cow 02","Farm 23","Nov","2019-11-04","NASAL SWAB","Autumn","Year 1","Cow",134
"C0223-V301NS01","Cow 02","Farm 23","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Cow",120
"C0224-S001NS01","Cow 02","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Cow",70
"C0224-V201NS01","Cow 02","Farm 24","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow",59
"C0224-V301NS01","Cow 02","Farm 24","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Cow",49
"C0225-S001NS01","Cow 02","Farm 25","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow",97
"C0225-V201NS01","Cow 02","Farm 25","Nov","2019-11-26","NASAL SWAB","Autumn","Year 1","Cow",98
"C0225-V301NS01","Cow 02","Farm 25","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow",34
"C0226-V201NS01","Cow 02","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow",130
"C0226-V301NS01","Cow 02","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Cow",78
"C0227-S001NS01","Cow 02","Farm 27","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow",75
"C0227-V201NS01","Cow 02","Farm 27","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow",111
"C0227-V301NS01","Cow 02","Farm 27","Feb","2020-02-21","NASAL SWAB","Winter","Year 1","Cow",102
"C0228-S001NS01","Cow 02","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow",37
"C0228-V201NS01","Cow 02","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow",191
"C0229-S001NS01","Cow 02","Farm 29","Sep","2019-09-17","NASAL SWAB","Autumn","Year 1","Cow",19
"C0229-V201NS01","Cow 02","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow",145
"C0233-V101NS01","Cow 02","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow",40
"C0233-V201NS01","Cow 02","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Cow",115
"C0234-V101NS01","Cow 02","Farm 34","Nov","2019-11-07","NASAL SWAB","Autumn","Year 1","Cow",119
"C0234-V201NS01","Cow 02","Farm 34","Jan","2020-01-28","NASAL SWAB","Winter","Year 1","Cow",55
"C0235-V101NS01","Cow 02","Farm 35","Dec","2019-12-11","NASAL SWAB","Winter","Year 1","Cow",89
"C0236-V101NS01","Cow 02","Farm 36","Nov","2019-11-21","NASAL SWAB","Autumn","Year 1","Cow",123
"C0236-V201NS01","Cow 02","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Cow",85
"C0237-V101NS01","Cow 02","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow",180
"C0238-V101NS01","Cow 02","Farm 38","Jan","2020-01-14","NASAL SWAB","Winter","Year 1","Cow",160
"C0239-V101NS01","Cow 02","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Cow",60
"C0241-V101NS01","Cow 02","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Cow",48
"C0242-V101NS01","Cow 02","Farm 42","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow",107
"C0243-V101NS01","Cow 02","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Cow",102
"C0301-P001NS01","Cow 03","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",32
"C0302-P001NS01","Cow 03","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow",112
"C0302-S001NS01","Cow 03","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow",74
"C0302-V401NS01","Cow 03","Farm 02","Nov","2019-11-27","NASAL SWAB","Autumn","Year 1","Cow",96
"C0302-W001NS01","Cow 03","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow",74
"C0303-P001NS01","Cow 03","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",58
"C0303-S001NS01","Cow 03","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow",105
"C0303-V401NS01","Cow 03","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",91
